dataset,prob_selected,edge_method,time_mc,approximation,T,L,time_ic_apporx,rmse,pearson,spearman,auc
Advogato,0.01,random_0.1,223.6759865283966,dmp_ic_fast,7,0,0.16677570343017578,0.0054953769359242415,tensor(0.9998),0.9997595103449621,0.9999769736971033
Advogato,0.01,random_0.1,223.6759865283966,dmp_inf,7,0,0.48456501960754395,0.007871353508819698,tensor(0.9998),0.999759706747348,0.9999691349556915
Advogato,0.01,random_0.1,223.6759865283966,modified_ALE,5,0,0.05583906173706055,0.08380393949896575,tensor(0.9837),0.9910163425519215,0.9815833669745986
Advogato,0.01,random_0.1,223.6759865283966,ALE_heuristic,5,0,0.05349445343017578,0.14305756577398268,tensor(0.8978),0.9824230944956163,0.9966366900130514
Advogato,0.01,random_0.1,245.44711422920227,SWE,8,2,0.072845458984375,0.005877121175823228,tensor(0.9998),0.9996691713061397,0.9999804031464707
Advogato,0.01,random_0.1,245.44711422920227,um_IC,9,0,0.0651397705078125,0.006087458469752968,tensor(0.9998),0.9996772326878477,0.9999720744837209
Advogato,0.01,random_0.1,245.44711422920227,dmp_um_fast,8,0,0.21355962753295898,0.005904606121233477,tensor(0.9998),0.9997016315532481,0.9999843225171766
Advogato,0.01,random_0.1,245.44711422920227,Naive,8,0,0.3193857669830322,0.007749613358683326,tensor(0.9998),0.9996913561386006,0.9999710946410445
Advogato,0.01,random_0.1,245.44711422920227,dmp_ic_fast,7,0,0.18341350555419922,0.005765575142760502,tensor(0.9998),0.9996999556057757,0.9999838325958385
Advogato,0.01,random_0.1,245.44711422920227,dmp_inf,7,0,0.48578524589538574,0.007589536023448029,tensor(0.9998),0.9996899021774364,0.999980893067809
